name,created_at,updated_at,midpoint_fom_20220315,baseline_fom_20220315,skylab_uuid
1651192162_shape_20220428_23.59.25_5c6b,2022-04-29T00:31:51.938737,2022-05-25T19:43:22.665404,-19.161980568231293,-15.547756868904289,c452a97a-42b1-4a42-882e-e06117abc110
1645800823_shape_20220225_14.26.39_5c6b,2022-02-25T14:56:32.041852,2022-05-25T19:43:28.701136,-27.171489057889577,-1.9553369934152014,c464d939-24d2-4b79-b3d1-2fb90ea6d208
1651972220_shape_20220508_00.41.16_5c6b,2022-05-08T01:13:06.729588,2022-05-25T19:43:34.204360,-19.794713804432373,-9.977859231189887,c52d50c7-8722-45f1-8e6c-934e2edc6658
1643130866_shape_20220125_16.37.41_5c6b,2022-01-25T17:19:20.504829,2022-05-25T19:43:40.323897,-27.39063156713099,-12.790754194370246,c603c7c7-1cd0-49dc-8036-d82919fb1db4
1649313983_shape_20220407_06.12.50_5c6b,2022-04-07T06:48:42.360849,2022-05-25T19:43:45.967206,-6.927381072524177,-8.031053468203089,c61d27eb-7267-4d1d-828d-53505001e677
1647875507_shape_20220321_12.38.13_5c6b,2022-03-21T15:15:32.820328,2022-05-25T19:43:52.316321,-23.56157358912695,-12.341551726975169,c628a013-e5fc-4859-8a39-b079cd93bd14
1647934168_shape_20220322_06.27.12_5c6b,2022-03-22T07:33:28.615219,2022-05-25T19:43:58.876602,-26.97976433788018,-20.402961973925823,c705754b-078b-49c5-bb76-c7db2f66638d
1649377452_shape_20220407_23.53.04_5c6b,2022-04-08T00:26:31.112934,2022-05-25T19:44:03.963243,-6.846272709474545,-5.5634293441208404,c71047c2-17e6-4921-981d-988b0552a96d
1651956326_shape_20220507_20.15.04_5c6b,2022-05-07T20:48:12.969468,2022-05-25T19:44:12.567152,-12.275715035538761,-13.079603609236123,c711f56e-f3d2-4e34-bd59-09de53f35328
1642843610_shape_20211214_02.16.52_5c6b,2022-01-22T09:29:18.082220,2022-05-25T19:44:17.698048,-102.51788490513617,-92.76866305342713,c728907d-161f-4242-93fc-1c4ea70d40c9
1651172750_shape_20220428_18.35.48_5c6b,2022-04-28T19:08:19.475078,2022-05-25T19:44:22.788564,-11.17331233383673,-9.14815569766422,c78c9173-eefd-4a22-89d3-32c9429430e9
1649188675_shape_20220405_19.22.24_5c6b,2022-04-05T20:00:28.013050,2022-05-25T19:44:27.845777,-32.44156776140033,-20.292774500683624,c7a69bf3-41c8-4c7b-a119-2c25429d823a
